Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.microplan.json	11240	-	0	0	0	0	0	0	4	74	0	0	0	0	0	0	0	0	0	0	52	90	0	0	0	2	0	1
fsh-generated/resources/ActivityDefinition-CoverageMonitoring.json	478	14	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-PolioVaccinationSession.json	506	14	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-SupervisionVisit.json	468	15	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/CarePlan-ExampleCarePlan.json	1130	18	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	9	16	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-MicroplanActivityTypeCS.json	962	13	0	0	0	0	1	0	0	21	0	0	0	0	0	0	0	0	0	0	9	1805	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-MicroplanLocationTypeCS.json	1104	11	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	9	32	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-MicroplanParticipantRoleCS.json	953	1	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	9	27	0	0	0	1	0	0
fsh-generated/resources/Group-ExamplePopulationDistrict.json	1070	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0
fsh-generated/resources/Group-ExamplePopulationSiteAlpha.json	1071	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/Group-ExamplePopulationSiteBeta.json	1069	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0
fsh-generated/resources/Location-ExampleCountry.json	444	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	0	0
fsh-generated/resources/Location-ExampleDistrict.json	521	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
fsh-generated/resources/Location-ExampleFacility.json	540	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Location-ExampleProvince.json	518	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
fsh-generated/resources/Location-ExampleSiteAlpha.json	622	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0
fsh-generated/resources/Location-ExampleSiteBeta.json	618	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-PolioSIACampaign.json	4219	2	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	17	11	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-CampaignLocation.json	1521	2	0	6	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	28	115	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-TargetLocationType.json	1596	2	0	13	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	38	114	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-microplan-careplan.json	2714	2	0	45	0	0	0	1	0	29	0	0	0	0	0	0	0	1	0	0	149	387	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-microplan-location.json	1790	2	0	33	1	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	82	217	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-microplan-plandefinition.json	3832	2	0	46	0	0	0	0	0	72	0	0	0	0	0	0	0	1	0	0	191	378	0	0	0	5	0	2
fsh-generated/resources/StructureDefinition-microplan-target-population.json	1951	2	0	19	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	81	187	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-microplan-task.json	2601	2	0	43	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	110	356	0	0	0	4	1	1
fsh-generated/resources/Task-ExampleTaskCoverageMonitoring.json	593	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	51	0	0	0	0	0	0
fsh-generated/resources/Task-ExampleTaskSupervision.json	584	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	56	0	0	0	0	0	0
fsh-generated/resources/Task-ExampleTaskVaccinationAlpha.json	802	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	43	0	0	0	0	0	0
fsh-generated/resources/Task-ExampleTaskVaccinationBeta.json	799	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	42	0	0	0	0	0	0
fsh-generated/resources/ValueSet-MicroplanActivityTypeVS.json	502	2	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	16	100	0	1	0	1	0	0
fsh-generated/resources/ValueSet-MicroplanLocationTypeVS.json	510	1	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	7	79	0	0	0	0	0	0
fsh-generated/resources/ValueSet-MicroplanParticipantRoleVS.json	513	2	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	6	77	0	0	0	0	0	0
